Mediciones,SpO2 Com (Pulsi),SpO2 Com2 (reloj),SpO2 Nue,BPM Com,BPM Com2,BPM Nue
1,98,98,98,64,63,69
2,98,99,98,62,62,69
3,99,99,99,62,63,58
4,98,99,100,66,65,61
5,97,99,99,69,69,61
6,98,100,100,68,68,58
7,99,98,100,68,68,58
8,98,99,100,68,68,64
9,98,99,99,66,67,66
10,98,99,98,71,70,70
11,99,99,99,68,68,67
12,98,99,100,68,67,68
13,98,99,100,73,70,69
14,97,99,97,78,73,72
15,98,99,97,77,73,71
16,98,98,99,79,76,73
17,99,99,100,75,74,73
18,98,100,100,77,74,73
19,99,99,99,80,76,73
20,98,99,100,81,78,84
