Mediciones,SpO2 Com (Pulsi),SpO2 Com2 (reloj),SpO2 Nue,BPM Com,BPM Com2,BPM Nue
1,96,97,96,58,56,83
2,97,99,100,59,59,61
3,95,98,100,62,61,60
4,95,98,100,63,63,60
5,95,96,96,69,67,57
6,97,98,100,65,66,66
7,97,97,100,67,67,70
8,97,97,100,63,62,60
9,97,99,100,61,61,63
10,97,100,100,65,65,65
11,97,100,100,65,62,65
12,97,100,100,64,61,65
13,96,98,100,69,66,65
14,97,98,100,65,63,65
15,97,97,100,63,62,65
16,97,97,99,67,67,71
17,97,97,100,71,69,68
18,96,97,100,67,67,63
19,96,98,99,77,73,69
20,96,98,99,60,67,69
