Mediciones,SpO2 Com (Pulsi),SpO2 Com2 (reloj),SpO2 Nue,BPM Com,BPM Com2,BPM Nue
1,94,96,98,92,84,93
2,95,97,96,86,85,85
3,94,97,100,90,87,83
4,96,91,98,87,85,88
5,97,94,98,88,88,88
6,95,96,99,87,87,87
7,94,94,100,85,84,87
8,95,98,98,94,84,92
9,95,96,97,90,85,90
10,95,98,98,95,97,98
11,95,97,98,85,85,81
12,95,93,99,91,88,87
13,95,96,99,90,90,88
14,98,97,99,95,90,92
15,95,98,100,93,84,96
16,95,97,100,91,83,81
17,94,97,98,78,78,78
18,97,97,99,77,77,77
19,95,99,99,89,77,90
20,96,97,99,88,79,80
