Mediciones,SpO2 Com (Pulsi),SpO2 Com2 (reloj),SpO2 Nue,BPM Com,BPM Com2,BPM Nue
1,98,100,100,66,65,57
2,98,100,100,66,66,66
3,98,98,100,63,64,66
4,98,99,93,67,67,57
5,100,98,99,63,65,64
6,98,99,100,73,69,66
7,98,100,100,74,70,69
8,98,100,100,71,70,69
9,98,99,98,69,69,61
10,98,99,100,72,70,64
11,98,99,100,71,71,69
12,99,99,100,67,67,70
13,99,99,100,70,70,70
14,99,100,97,73,71,75
15,99,99,100,69,68,72
16,99,99,100,69,69,72
17,99,99,100,71,70,72
18,99,97,98,73,71,72
19,99,98,100,71,71,70
20,98,99,100,71,71,69
