Mediciones,SpO2 Com (Pulsi),SpO2 Com2 (reloj),SpO2 Nue,BPM Com,BPM Com2,BPM Nue
1,97,100,100,65,65,67
2,96,99,100,67,67,67
3,96,99,100,69,67,67
4,97,98,100,73,75,66
5,97,97,100,68,67,66
6,97,97,100,60,66,68
7,97,100,99,74,72,68
8,97,99,100,69,69,72
9,97,98,100,70,70,68
10,97,98,99,72,71,68
11,98,97,96,68,69,72
12,97,96,100,72,73,72
13,95,96,100,73,72,75
14,96,96,100,76,74,67
15,96,96,100,75,73,71
16,96,99,99,73,73,75
17,95,98,100,73,73,75
18,97,96,99,73,72,73
19,97,96,99,77,75,75
20,97,97,100,76,75,75
